date,day_of_week,week_number,shift,production_line,product_type,machine_id,machine_status,skill_required,required_staff,production_units,order_backlog,priority_level,raw_material_availability,raw_material_cost_index,planned_downtime,absenteeism_rate,overtime_allowed,is_weekend,is_peak_day,weather_disruption,supplier_delay
2026-01-06,Tuesday,1,Morning,Line B,Custom Components,M-B1,Running,Quality Inspector,2,579,48,Medium,0.97,1.08,0,0.09,0,0,0,0,0
2026-01-06,Tuesday,1,Morning,Line B,Custom Components,M-B1,Running,Maintenance Technician,2,579,48,Medium,0.97,1.08,0,0.09,0,0,0,0,0
2026-01-06,Tuesday,1,Morning,Line B,Custom Components,M-B1,Running,Packaging Operator,3,579,48,Medium,0.97,1.08,0,0.09,0,0,0,0,0
2026-01-06,Tuesday,1,Morning,Line C,Standard Parts,M-C1,Running,Machine Operator,4,566,15,Medium,0.72,1.12,0,0.07,0,0,0,0,0
2026-01-06,Tuesday,1,Morning,Line C,Standard Parts,M-C1,Running,Quality Inspector,2,566,15,Medium,0.72,1.12,0,0.07,0,0,0,0,0
2026-01-06,Tuesday,1,Morning,Line C,Standard Parts,M-C1,Running,Maintenance Technician,2,566,15,Medium,0.72,1.12,0,0.07,0,0,0,0,0
2026-01-06,Tuesday,1,Morning,Line C,Standard Parts,M-C1,Running,Packaging Operator,3,566,15,Medium,0.72,1.12,0,0.07,0,0,0,0,0
2026-01-06,Tuesday,1,Afternoon,Line A,Custom Components,M-A1,Running,Machine Operator,4,576,62,Low,0.74,1.19,0,0.12,0,0,0,0,0
2026-01-06,Tuesday,1,Afternoon,Line A,Custom Components,M-A1,Running,Quality Inspector,2,576,62,Low,0.74,1.19,0,0.12,0,0,0,0,0
2026-01-06,Tuesday,1,Afternoon,Line A,Custom Components,M-A1,Running,Maintenance Technician,2,576,62,Low,0.74,1.19,0,0.12,0,0,0,0,0
2026-01-06,Tuesday,1,Afternoon,Line A,Custom Components,M-A1,Running,Packaging Operator,3,576,62,Low,0.74,1.19,0,0.12,0,0,0,0,0
2026-01-06,Tuesday,1,Afternoon,Line B,Standard Parts,M-B4,Running,Machine Operator,4,649,78,High,0.81,1.11,0,0.07,1,0,0,0,0
2026-01-06,Tuesday,1,Afternoon,Line B,Standard Parts,M-B4,Running,Quality Inspector,2,649,78,High,0.81,1.11,0,0.07,1,0,0,0,0
2026-01-06,Tuesday,1,Afternoon,Line B,Standard Parts,M-B4,Running,Maintenance Technician,2,649,78,High,0.81,1.11,0,0.07,1,0,0,0,0
2026-01-06,Tuesday,1,Afternoon,Line B,Standard Parts,M-B4,Running,Packaging Operator,3,649,78,High,0.81,1.11,0,0.07,1,0,0,0,0
2026-01-06,Tuesday,1,Afternoon,Line C,Custom Components,M-C3,Maintenance,Machine Operator,3,406,57,Low,0.93,0.88,1,0.06,0,0,0,0,0
2026-01-06,Tuesday,1,Afternoon,Line C,Custom Components,M-C3,Maintenance,Quality Inspector,1,406,57,Low,0.93,0.88,1,0.06,0,0,0,0,0
2026-01-06,Tuesday,1,Afternoon,Line C,Custom Components,M-C3,Maintenance,Maintenance Technician,3,406,57,Low,0.93,0.88,1,0.06,0,0,0,0,0
2026-01-06,Tuesday,1,Afternoon,Line C,Custom Components,M-C3,Maintenance,Packaging Operator,2,406,57,Low,0.93,0.88,1,0.06,0,0,0,0,0
2026-01-06,Tuesday,1,Night,Line A,Custom Components,M-A3,Running,Machine Operator,2,422,43,Medium,0.68,1.17,0,0.08,0,0,0,0,0
2026-01-06,Tuesday,1,Night,Line A,Custom Components,M-A3,Running,Quality Inspector,1,422,43,Medium,0.68,1.17,0,0.08,0,0,0,0,0
2026-01-06,Tuesday,1,Night,Line A,Custom Components,M-A3,Running,Maintenance Technician,1,422,43,Medium,0.68,1.17,0,0.08,0,0,0,0,0
2026-01-06,Tuesday,1,Night,Line A,Custom Components,M-A3,Running,Packaging Operator,1,422,43,Medium,0.68,1.17,0,0.08,0,0,0,0,0
2026-01-06,Tuesday,1,Night,Line B,Standard Parts,M-B1,Running,Machine Operator,3,361,30,Medium,0.76,1.07,0,0.08,0,0,0,0,0
2026-01-06,Tuesday,1,Night,Line B,Standard Parts,M-B1,Running,Quality Inspector,1,361,30,Medium,0.76,1.07,0,0.08,0,0,0,0,0
2026-01-06,Tuesday,1,Night,Line B,Standard Parts,M-B1,Running,Maintenance Technician,1,361,30,Medium,0.76,1.07,0,0.08,0,0,0,0,0
2026-01-06,Tuesday,1,Night,Line B,Standard Parts,M-B1,Running,Packaging Operator,2,361,30,Medium,0.76,1.07,0,0.08,0,0,0,0,0
2026-01-06,Tuesday,1,Night,Line C,Custom Components,M-C2,Running,Machine Operator,3,400,47,Medium,0.7,1.12,0,0.07,0,0,0,0,0
2026-01-06,Tuesday,1,Night,Line C,Custom Components,M-C2,Running,Quality Inspector,1,400,47,Medium,0.7,1.12,0,0.07,0,0,0,0,0
2026-01-06,Tuesday,1,Night,Line C,Custom Components,M-C2,Running,Maintenance Technician,1,400,47,Medium,0.7,1.12,0,0.07,0,0,0,0,0
2026-01-06,Tuesday,1,Night,Line C,Custom Components,M-C2,Running,Packaging Operator,2,400,47,Medium,0.7,1.12,0,0.07,0,0,0,0,0
2026-01-07,Wednesday,1,Morning,Line A,Custom Components,M-A3,Running,Machine Operator,3,522,40,Low,0.69,1.14,0,0.07,0,0,0,0,0
2026-01-07,Wednesday,1,Morning,Line A,Custom Components,M-A3,Running,Quality Inspector,2,522,40,Low,0.69,1.14,0,0.07,0,0,0,0,0
2026-01-07,Wednesday,1,Morning,Line A,Custom Components,M-A3,Running,Maintenance Technician,2,522,40,Low,0.69,1.14,0,0.07,0,0,0,0,0
2026-01-07,Wednesday,1,Morning,Line A,Custom Components,M-A3,Running,Packaging Operator,2,522,40,Low,0.69,1.14,0,0.07,0,0,0,0,0
2026-01-07,Wednesday,1,Morning,Line B,Packaged Goods,M-B4,Running,Machine Operator,4,535,76,Medium,0.84,1.15,0,0.02,0,0,0,0,0
2026-01-07,Wednesday,1,Morning,Line B,Packaged Goods,M-B4,Running,Quality Inspector,2,535,76,Medium,0.84,1.15,0,0.02,0,0,0,0,0
2026-01-07,Wednesday,1,Morning,Line B,Packaged Goods,M-B4,Running,Maintenance Technician,2,535,76,Medium,0.84,1.15,0,0.02,0,0,0,0,0
2026-01-07,Wednesday,1,Morning,Line B,Packaged Goods,M-B4,Running,Packaging Operator,3,535,76,Medium,0.84,1.15,0,0.02,0,0,0,0,0
2026-01-07,Wednesday,1,Morning,Line C,Custom Components,M-C1,Running,Machine Operator,3,470,6,Medium,0.65,0.87,0,0.09,0,0,0,0,1
2026-01-07,Wednesday,1,Morning,Line C,Custom Components,M-C1,Running,Quality Inspector,2,470,6,Medium,0.65,0.87,0,0.09,0,0,0,0,1
2026-01-07,Wednesday,1,Morning,Line C,Custom Components,M-C1,Running,Maintenance Technician,2,470,6,Medium,0.65,0.87,0,0.09,0,0,0,0,1
2026-01-07,Wednesday,1,Morning,Line C,Custom Components,M-C1,Running,Packaging Operator,2,470,6,Medium,0.65,0.87,0,0.09,0,0,0,0,1
2026-01-07,Wednesday,1,Afternoon,Line A,Standard Parts,M-A1,Running,Machine Operator,4,554,23,High,0.79,1.03,0,0.04,1,0,0,0,0
2026-01-07,Wednesday,1,Afternoon,Line A,Standard Parts,M-A1,Running,Quality Inspector,2,554,23,High,0.79,1.03,0,0.04,1,0,0,0,0
2026-01-07,Wednesday,1,Afternoon,Line A,Standard Parts,M-A1,Running,Maintenance Technician,2,554,23,High,0.79,1.03,0,0.04,1,0,0,0,0
2026-01-07,Wednesday,1,Afternoon,Line A,Standard Parts,M-A1,Running,Packaging Operator,3,554,23,High,0.79,1.03,0,0.04,1,0,0,0,0
2026-01-07,Wednesday,1,Afternoon,Line B,Custom Components,M-B4,Running,Machine Operator,4,615,19,High,0.85,0.87,0,0.11,1,0,0,0,0
2026-01-07,Wednesday,1,Afternoon,Line B,Custom Components,M-B4,Running,Quality Inspector,2,615,19,High,0.85,0.87,0,0.11,1,0,0,0,0
2026-01-07,Wednesday,1,Afternoon,Line B,Custom Components,M-B4,Running,Maintenance Technician,2,615,19,High,0.85,0.87,0,0.11,1,0,0,0,0
2026-01-07,Wednesday,1,Afternoon,Line B,Custom Components,M-B4,Running,Packaging Operator,3,615,19,High,0.85,0.87,0,0.11,1,0,0,0,0
2026-01-07,Wednesday,1,Afternoon,Line C,Custom Components,M-C2,Running,Machine Operator,4,632,38,High,0.75,1.21,0,0.12,1,0,0,0,0
2026-01-07,Wednesday,1,Afternoon,Line C,Custom Components,M-C2,Running,Quality Inspector,2,632,38,High,0.75,1.21,0,0.12,1,0,0,0,0
2026-01-07,Wednesday,1,Afternoon,Line C,Custom Components,M-C2,Running,Maintenance Technician,2,632,38,High,0.75,1.21,0,0.12,1,0,0,0,0
2026-01-07,Wednesday,1,Afternoon,Line C,Custom Components,M-C2,Running,Packaging Operator,3,632,38,High,0.75,1.21,0,0.12,1,0,0,0,0
2026-01-07,Wednesday,1,Night,Line A,Packaged Goods,M-A1,Maintenance,Machine Operator,1,247,10,Low,0.68,0.93,1,0.03,0,0,0,0,1
2026-01-07,Wednesday,1,Night,Line A,Packaged Goods,M-A1,Maintenance,Quality Inspector,1,247,10,Low,0.68,0.93,1,0.03,0,0,0,0,1
2026-01-07,Wednesday,1,Night,Line A,Packaged Goods,M-A1,Maintenance,Maintenance Technician,2,247,10,Low,0.68,0.93,1,0.03,0,0,0,0,1
2026-01-07,Wednesday,1,Night,Line A,Packaged Goods,M-A1,Maintenance,Packaging Operator,1,247,10,Low,0.68,0.93,1,0.03,0,0,0,0,1
2026-01-07,Wednesday,1,Night,Line B,Packaged Goods,M-B4,Running,Machine Operator,2,439,58,Low,0.69,1.13,0,0.04,0,0,0,0,0
2026-01-07,Wednesday,1,Night,Line B,Packaged Goods,M-B4,Running,Quality Inspector,1,439,58,Low,0.69,1.13,0,0.04,0,0,0,0,0
2026-01-07,Wednesday,1,Night,Line B,Packaged Goods,M-B4,Running,Maintenance Technician,1,439,58,Low,0.69,1.13,0,0.04,0,0,0,0,0
2026-01-07,Wednesday,1,Night,Line B,Packaged Goods,M-B4,Running,Packaging Operator,1,439,58,Low,0.69,1.13,0,0.04,0,0,0,0,0
2026-01-07,Wednesday,1,Night,Line C,Packaged Goods,M-C2,Running,Machine Operator,3,504,34,High,0.82,1.11,0,0.02,1,0,0,0,0
2026-01-07,Wednesday,1,Night,Line C,Packaged Goods,M-C2,Running,Quality Inspector,1,504,34,High,0.82,1.11,0,0.02,1,0,0,0,0
2026-01-07,Wednesday,1,Night,Line C,Packaged Goods,M-C2,Running,Maintenance Technician,1,504,34,High,0.82,1.11,0,0.02,1,0,0,0,0
2026-01-07,Wednesday,1,Night,Line C,Packaged Goods,M-C2,Running,Packaging Operator,2,504,34,High,0.82,1.11,0,0.02,1,0,0,0,0
2026-01-08,Thursday,1,Morning,Line A,Custom Components,M-A3,Running,Machine Operator,4,583,63,Medium,0.98,1.05,0,0.08,0,0,0,0,0
2026-01-08,Thursday,1,Morning,Line A,Custom Components,M-A3,Running,Quality Inspector,2,583,63,Medium,0.98,1.05,0,0.08,0,0,0,0,0
2026-01-08,Thursday,1,Morning,Line A,Custom Components,M-A3,Running,Maintenance Technician,2,583,63,Medium,0.98,1.05,0,0.08,0,0,0,0,0
2026-01-08,Thursday,1,Morning,Line A,Custom Components,M-A3,Running,Packaging Operator,3,583,63,Medium,0.98,1.05,0,0.08,0,0,0,0,0
2026-01-08,Thursday,1,Morning,Line B,Custom Components,M-B1,Running,Machine Operator,4,584,73,Medium,0.98,1.18,0,0.01,0,0,0,0,0
2026-01-08,Thursday,1,Morning,Line B,Custom Components,M-B1,Running,Quality Inspector,2,584,73,Medium,0.98,1.18,0,0.01,0,0,0,0,0
2026-01-08,Thursday,1,Morning,Line B,Custom Components,M-B1,Running,Maintenance Technician,2,584,73,Medium,0.98,1.18,0,0.01,0,0,0,0,0
2026-01-08,Thursday,1,Morning,Line B,Custom Components,M-B1,Running,Packaging Operator,3,584,73,Medium,0.98,1.18,0,0.01,0,0,0,0,0
2026-01-08,Thursday,1,Morning,Line C,Standard Parts,M-C2,Running,Machine Operator,4,626,23,High,0.86,1.22,0,0.06,1,0,0,0,0
2026-01-08,Thursday,1,Morning,Line C,Standard Parts,M-C2,Running,Quality Inspector,2,626,23,High,0.86,1.22,0,0.06,1,0,0,0,0
2026-01-08,Thursday,1,Morning,Line C,Standard Parts,M-C2,Running,Maintenance Technician,2,626,23,High,0.86,1.22,0,0.06,1,0,0,0,0
2026-01-08,Thursday,1,Morning,Line C,Standard Parts,M-C2,Running,Packaging Operator,3,626,23,High,0.86,1.22,0,0.06,1,0,0,0,0
2026-01-08,Thursday,1,Afternoon,Line A,Custom Components,M-A4,Running,Machine Operator,4,546,42,Medium,0.87,1.19,0,0.06,0,0,0,0,0
2026-01-08,Thursday,1,Afternoon,Line A,Custom Components,M-A4,Running,Quality Inspector,2,546,42,Medium,0.87,1.19,0,0.06,0,0,0,0,0
2026-01-08,Thursday,1,Afternoon,Line A,Custom Components,M-A4,Running,Maintenance Technician,2,546,42,Medium,0.87,1.19,0,0.06,0,0,0,0,0
2026-01-08,Thursday,1,Afternoon,Line A,Custom Components,M-A4,Running,Packaging Operator,3,546,42,Medium,0.87,1.19,0,0.06,0,0,0,0,0
2026-01-08,Thursday,1,Afternoon,Line B,Standard Parts,M-B4,Running,Machine Operator,4,579,51,High,0.7,0.9,0,0.1,1,0,0,1,0
2026-01-08,Thursday,1,Afternoon,Line B,Standard Parts,M-B4,Running,Quality Inspector,2,579,51,High,0.7,0.9,0,0.1,1,0,0,1,0
2026-01-08,Thursday,1,Afternoon,Line B,Standard Parts,M-B4,Running,Maintenance Technician,2,579,51,High,0.7,0.9,0,0.1,1,0,0,1,0
2026-01-08,Thursday,1,Afternoon,Line B,Standard Parts,M-B4,Running,Packaging Operator,3,579,51,High,0.7,0.9,0,0.1,1,0,0,1,0
2026-01-08,Thursday,1,Afternoon,Line C,Custom Components,M-C1,Running,Machine Operator,4,531,80,Medium,0.74,1.15,0,0.02,0,0,0,0,0
2026-01-08,Thursday,1,Afternoon,Line C,Custom Components,M-C1,Running,Quality Inspector,2,531,80,Medium,0.74,1.15,0,0.02,0,0,0,0,0
2026-01-08,Thursday,1,Afternoon,Line C,Custom Components,M-C1,Running,Maintenance Technician,2,531,80,Medium,0.74,1.15,0,0.02,0,0,0,0,0
2026-01-08,Thursday,1,Afternoon,Line C,Custom Components,M-C1,Running,Packaging Operator,3,531,80,Medium,0.74,1.15,0,0.02,0,0,0,0,0
2026-01-08,Thursday,1,Night,Line A,Custom Components,M-A4,Running,Machine Operator,3,338,30,Medium,0.99,1.09,0,0.04,0,0,0,1,0
2026-01-08,Thursday,1,Night,Line A,Custom Components,M-A4,Running,Quality Inspector,1,338,30,Medium,0.99,1.09,0,0.04,0,0,0,1,0
2026-01-08,Thursday,1,Night,Line A,Custom Components,M-A4,Running,Maintenance Technician,1,338,30,Medium,0.99,1.09,0,0.04,0,0,0,1,0
2026-01-08,Thursday,1,Night,Line A,Custom Components,M-A4,Running,Packaging Operator,2,338,30,Medium,0.99,1.09,0,0.04,0,0,0,1,0
2026-01-08,Thursday,1,Night,Line B,Standard Parts,M-B4,Maintenance,Machine Operator,2,304,37,Medium,0.86,0.91,1,0.04,0,0,0,0,0
2026-01-08,Thursday,1,Night,Line B,Standard Parts,M-B4,Maintenance,Quality Inspector,1,304,37,Medium,0.86,0.91,1,0.04,0,0,0,0,0
2026-01-08,Thursday,1,Night,Line B,Standard Parts,M-B4,Maintenance,Maintenance Technician,2,304,37,Medium,0.86,0.91,1,0.04,0,0,0,0,0
2026-01-08,Thursday,1,Night,Line B,Standard Parts,M-B4,Maintenance,Packaging Operator,1,304,37,Medium,0.86,0.91,1,0.04,0,0,0,0,0
2026-01-08,Thursday,1,Night,Line C,Custom Components,M-C2,Running,Machine Operator,3,487,17,High,0.97,1.05,0,0.04,1,0,0,0,0
2026-01-08,Thursday,1,Night,Line C,Custom Components,M-C2,Running,Quality Inspector,1,487,17,High,0.97,1.05,0,0.04,1,0,0,0,0
2026-01-08,Thursday,1,Night,Line C,Custom Components,M-C2,Running,Maintenance Technician,1,487,17,High,0.97,1.05,0,0.04,1,0,0,0,0
2026-01-08,Thursday,1,Night,Line C,Custom Components,M-C2,Running,Packaging Operator,2,487,17,High,0.97,1.05,0,0.04,1,0,0,0,0
2026-01-09,Friday,1,Morning,Line A,Standard Parts,M-A3,Running,Machine Operator,6,775,62,High,0.93,1.08,0,0.06,1,0,1,0,0
2026-01-09,Friday,1,Morning,Line A,Standard Parts,M-A3,Running,Quality Inspector,4,775,62,High,0.93,1.08,0,0.06,1,0,1,0,0
2026-01-09,Friday,1,Morning,Line A,Standard Parts,M-A3,Running,Maintenance Technician,4,775,62,High,0.93,1.08,0,0.06,1,0,1,0,0
2026-01-09,Friday,1,Morning,Line A,Standard Parts,M-A3,Running,Packaging Operator,5,775,62,High,0.93,1.08,0,0.06,1,0,1,0,0
2026-01-09,Friday,1,Morning,Line B,Custom Components,M-B4,Maintenance,Machine Operator,3,520,30,Medium,0.95,1.24,1,0.04,1,0,1,0,1
2026-01-09,Friday,1,Morning,Line B,Custom Components,M-B4,Maintenance,Quality Inspector,2,520,30,Medium,0.95,1.24,1,0.04,1,0,1,0,1
2026-01-09,Friday,1,Morning,Line B,Custom Components,M-B4,Maintenance,Maintenance Technician,4,520,30,Medium,0.95,1.24,1,0.04,1,0,1,0,1
2026-01-09,Friday,1,Morning,Line B,Custom Components,M-B4,Maintenance,Packaging Operator,2,520,30,Medium,0.95,1.24,1,0.04,1,0,1,0,1
2026-01-09,Friday,1,Morning,Line C,Packaged Goods,M-C4,Running,Machine Operator,5,616,19,Medium,0.87,1.18,0,0.01,1,0,1,0,0
2026-01-09,Friday,1,Morning,Line C,Packaged Goods,M-C4,Running,Quality Inspector,3,616,19,Medium,0.87,1.18,0,0.01,1,0,1,0,0
2026-01-09,Friday,1,Morning,Line C,Packaged Goods,M-C4,Running,Maintenance Technician,3,616,19,Medium,0.87,1.18,0,0.01,1,0,1,0,0
2026-01-09,Friday,1,Morning,Line C,Packaged Goods,M-C4,Running,Packaging Operator,4,616,19,Medium,0.87,1.18,0,0.01,1,0,1,0,0
2026-01-09,Friday,1,Afternoon,Line A,Custom Components,M-A1,Running,Machine Operator,6,714,52,High,0.78,1.14,0,0.12,1,0,1,0,0
2026-01-09,Friday,1,Afternoon,Line A,Custom Components,M-A1,Running,Quality Inspector,4,714,52,High,0.78,1.14,0,0.12,1,0,1,0,0
2026-01-09,Friday,1,Afternoon,Line A,Custom Components,M-A1,Running,Maintenance Technician,4,714,52,High,0.78,1.14,0,0.12,1,0,1,0,0
2026-01-09,Friday,1,Afternoon,Line A,Custom Components,M-A1,Running,Packaging Operator,5,714,52,High,0.78,1.14,0,0.12,1,0,1,0,0
2026-01-09,Friday,1,Afternoon,Line B,Custom Components,M-B4,Running,Machine Operator,6,678,68,Medium,0.94,1.19,0,0.04,1,0,1,0,0
2026-01-09,Friday,1,Afternoon,Line B,Custom Components,M-B4,Running,Quality Inspector,4,678,68,Medium,0.94,1.19,0,0.04,1,0,1,0,0
2026-01-09,Friday,1,Afternoon,Line B,Custom Components,M-B4,Running,Maintenance Technician,4,678,68,Medium,0.94,1.19,0,0.04,1,0,1,0,0
2026-01-09,Friday,1,Afternoon,Line B,Custom Components,M-B4,Running,Packaging Operator,5,678,68,Medium,0.94,1.19,0,0.04,1,0,1,0,0
2026-01-09,Friday,1,Afternoon,Line C,Standard Parts,M-C1,Running,Machine Operator,5,601,29,Medium,0.87,0.96,0,0.06,1,0,1,0,0
2026-01-09,Friday,1,Afternoon,Line C,Standard Parts,M-C1,Running,Quality Inspector,3,601,29,Medium,0.87,0.96,0,0.06,1,0,1,0,0
2026-01-09,Friday,1,Afternoon,Line C,Standard Parts,M-C1,Running,Maintenance Technician,3,601,29,Medium,0.87,0.96,0,0.06,1,0,1,0,0
2026-01-09,Friday,1,Afternoon,Line C,Standard Parts,M-C1,Running,Packaging Operator,4,601,29,Medium,0.87,0.96,0,0.06,1,0,1,0,0
2026-01-09,Friday,1,Night,Line A,Custom Components,M-A2,Running,Machine Operator,4,530,7,Medium,0.96,0.87,0,0.05,1,0,1,0,0
2026-01-09,Friday,1,Night,Line A,Custom Components,M-A2,Running,Quality Inspector,2,530,7,Medium,0.96,0.87,0,0.05,1,0,1,0,0
2026-01-09,Friday,1,Night,Line A,Custom Components,M-A2,Running,Maintenance Technician,2,530,7,Medium,0.96,0.87,0,0.05,1,0,1,0,0
2026-01-09,Friday,1,Night,Line A,Custom Components,M-A2,Running,Packaging Operator,3,530,7,Medium,0.96,0.87,0,0.05,1,0,1,0,0
2026-01-09,Friday,1,Night,Line B,Packaged Goods,M-B2,Running,Machine Operator,3,453,79,Medium,0.63,1.2,0,0.06,1,0,1,0,1
2026-01-09,Friday,1,Night,Line B,Packaged Goods,M-B2,Running,Quality Inspector,2,453,79,Medium,0.63,1.2,0,0.06,1,0,1,0,1
